filter_idx,CTCF,B2CTCF,B2noCTCF,B2CTCF_vs_CTCF,B2CTCF_vs_B2no,B2CTCF_specificity
0,1.8973761,1.272617,1.4226357,-0.6247591,-0.15001869,-0.38738883
1,0.75823367,1.0667958,1.0154194,0.30856216,0.051376462,0.17996931
2,2.338444,0.49518606,0.38446683,-1.8432579,0.110719234,-0.86626935
3,4.2877903,1.3496609,0.85951763,-2.9381294,0.49014324,-1.2239931
4,1.5012816,0.93505657,1.1639841,-0.56622505,-0.2289275,-0.3975762
5,6.9126377,1.31153,0.77732384,-5.6011076,0.53420615,-2.5334506
6,3.698484,0.5522531,0.27794296,-3.1462307,0.27431017,-1.4359603
7,7.156028,1.0319145,0.785613,-6.124113,0.24630147,-2.938906
8,1.8901051,0.44735864,0.46499816,-1.4427465,-0.017639518,-0.730193
9,1.7457137,1.9028174,1.2413541,0.15710366,0.66146326,0.40928352
10,3.5129635,0.94990313,0.85296977,-2.5630603,0.096933365,-1.2330636
11,2.51855,1.0464761,1.0180527,-1.4720738,0.028423429,-0.7218251
12,1.3582053,1.2936163,1.4838889,-0.06458902,-0.19027257,-0.1274308
13,6.814229,2.9930224,1.3603638,-3.8212066,1.6326586,-1.094274
14,3.992188,1.1564221,0.5496096,-2.8357658,0.60681254,-1.1144767
15,7.132625,3.2936199,1.5205988,-3.8390052,1.7730211,-1.0329921
16,2.9921825,1.9293817,1.4111233,-1.0628008,0.51825845,-0.27227128
17,5.81166,1.1888429,1.0871283,-4.622817,0.10171461,-2.260551
18,0.9296004,1.4022526,1.5516703,0.47265214,-0.14941776,0.16161716
19,2.9168806,0.5955016,0.8634314,-2.321379,-0.2679298,-1.2946544
20,3.4412308,1.5677842,0.8087197,-1.8734466,0.7590645,-0.557191
21,0.5075464,0.14986302,0.35326415,-0.35768342,-0.20340113,-0.28054225
22,1.634589,2.640062,2.368062,1.0054731,0.27200007,0.6387365
23,1.3278346,1.3053617,1.1181283,-0.022472858,0.18723345,0.082380295
24,3.9487839,1.4753976,1.0324186,-2.4733863,0.44297898,-1.0152037
25,5.581882,2.5042157,1.2505633,-3.0776663,1.2536525,-0.91200686
26,0.98712695,1.3480154,1.2518287,0.36088848,0.09618676,0.22853768
27,1.6143289,2.267827,2.1482477,0.6534982,0.119579315,0.38653874
28,7.7453084,2.302337,2.0633008,-5.442971,0.23903608,-2.6019676
29,3.672558,1.357773,0.86168915,-2.314785,0.4960838,-0.90935075
30,6.227148,1.9617851,1.0217308,-4.2653627,0.9400543,-1.6626544
31,1.305635,1.8335441,1.8316158,0.52790916,0.0019283295,0.26491868
32,0.85376793,1.2922468,1.1376789,0.4384789,0.15456796,0.29652345
33,8.083463,2.5320742,1.0587494,-5.5513887,1.4733248,-2.0390317
34,0.5855597,1.8664471,2.1975446,1.2808874,-0.33109748,0.47489488
35,4.6150723,1.933926,1.1903954,-2.6811461,0.74353063,-0.9688078
36,1.2096664,1.0061843,1.3786854,-0.20348203,-0.37250102,-0.28799152
37,1.8312943,1.7088315,1.1182765,-0.12246275,0.5905551,0.23404622
38,1.3292178,1.6814653,1.7129148,0.35224748,-0.031449556,0.16039896
39,0.6537604,0.6129619,0.6318729,-0.040798485,-0.018911004,-0.029854774
40,1.3379807,0.7934452,1.1134557,-0.5445355,-0.32001042,-0.43227303
41,3.359079,0.54995733,0.2735666,-2.8091216,0.27639073,-1.2663655
42,5.557433,1.6262418,0.8645906,-3.9311914,0.7616512,-1.5847701
43,2.6221626,0.70912653,0.3230962,-1.9130361,0.38603035,-0.7635029
44,0.8288219,1.3229218,1.1604636,0.49409986,0.16245818,0.32827902
45,4.263565,0.9650128,0.7062509,-3.2985523,0.25876188,-1.5198953
46,3.544783,2.2556117,1.9886422,-1.2891715,0.26696944,-0.511101
47,4.3539486,1.9141014,0.6767297,-2.4398472,1.2373717,-0.6012378
48,9.513553,2.777183,1.2991583,-6.7363696,1.4780247,-2.6291723
49,3.5934289,2.1676075,1.4556037,-1.4258213,0.7120038,-0.3569088
50,4.1586623,1.04212,1.4029454,-3.1165423,-0.36082542,-1.7386839
51,6.9500847,3.3271503,1.5940341,-3.6229343,1.7331163,-0.9449091
52,4.8085766,1.5483314,1.4520489,-3.2602453,0.09628248,-1.5819813
53,2.2413013,0.5573046,0.56493104,-1.6839967,-0.0076264143,-0.8458116
54,3.9917166,1.9358538,1.0810101,-2.055863,0.85484374,-0.6005095
55,5.070626,1.7094879,0.7887869,-3.3611379,0.920701,-1.2202184
56,3.552344,2.9971032,1.7619805,-0.55524087,1.2351227,0.33994102
57,2.5844295,1.7779515,1.2279181,-0.806478,0.55003333,-0.12822235
58,5.8525114,2.2511547,0.9783667,-3.6013567,1.272788,-1.1642845
59,1.3262572,0.61312956,0.6833872,-0.7131277,-0.070257664,-0.3916927
60,4.262331,1.8267285,0.9676013,-2.4356027,0.85912716,-0.7882377
61,3.920884,1.7406274,1.536904,-2.1802564,0.20372343,-0.9882666
62,1.1145438,1.1450489,1.3182877,0.030505061,-0.17323887,-0.071366906
63,2.0949242,1.2265761,0.95200795,-0.8683481,0.27456814,-0.29689002
64,5.3871837,2.539373,1.2682859,-2.8478107,1.271087,-0.7883618
65,2.5986326,1.7067847,1.6348814,-0.89184785,0.07190335,-0.4099722
66,1.9188031,1.819068,1.4063587,-0.09973514,0.41270924,0.15648699
67,3.2575996,1.1649346,0.8643566,-2.092665,0.30057806,-0.89604354
68,2.45823,3.276452,1.7971474,0.81822205,1.4793047,1.1487634
69,7.4890676,1.0584601,0.5859254,-6.4306073,0.47253472,-2.9790363
70,2.5282571,1.5721397,1.0934741,-0.9561174,0.4786656,-0.2387259
71,3.6411524,1.3428867,1.4016352,-2.2982657,-0.058748484,-1.1785071
72,1.1229284,1.9999566,1.7689142,0.8770282,0.23104239,0.5540353
73,1.5294366,1.179878,1.2230477,-0.3495586,-0.043169737,-0.19636416
74,2.646554,0.60161906,1.0315737,-2.044935,-0.4299546,-1.2374449
75,4.0237193,0.81563157,0.3483132,-3.2080877,0.46731836,-1.3703847
76,1.9298248,1.0760475,0.9566518,-0.8537773,0.11939573,-0.36719072
77,4.8296604,1.1558968,1.0748786,-3.6737638,0.08101821,-1.7963728
78,0.5497672,0.84904647,0.84196454,0.29927927,0.007081926,0.1531806
79,1.6972433,1.0482209,1.3387644,-0.64902246,-0.29054356,-0.46978307
80,2.6532502,1.3381976,1.1475152,-1.3150526,0.19068241,-0.56218517
81,0.956927,2.0520005,1.5469674,1.0950735,0.50503314,0.80005336
82,5.0870457,1.9092572,0.87280995,-3.1777885,1.0364473,-1.0706706
83,5.9548154,1.977228,0.9412738,-3.9775872,1.0359542,-1.4708165
84,3.258598,1.3314393,0.95662117,-1.9271588,0.3748181,-0.7761705
85,1.1204765,0.67427087,1.0991321,-0.44620562,-0.4248612,-0.4355334
86,3.822363,1.753867,1.1639416,-2.0684958,0.5899254,-0.7392851
87,11.339191,3.4630766,1.2261261,-7.876115,2.2369504,-2.819582
88,1.10098,0.7537601,0.8635551,-0.34721994,-0.109794974,-0.22850746
89,1.2731676,1.1993685,1.2845533,-0.07379913,-0.08518481,-0.07949197
90,9.197851,2.803594,1.5942044,-6.394257,1.2093897,-2.5924335
91,2.814696,1.3866738,0.95711994,-1.4280223,0.42955387,-0.4992342
92,2.2309632,2.0299332,1.4984511,-0.20103002,0.5314821,0.16522598
93,7.801032,1.3074627,0.87548053,-6.4935694,0.43198216,-3.0307937
94,4.808171,1.1873168,1.0186986,-3.620854,0.1686182,-1.726118
95,3.5585742,1.3341783,0.838878,-2.2243958,0.49530035,-0.86454785
96,2.8082647,0.9717579,1.0826923,-1.8365068,-0.11093438,-0.97372055
97,3.1149821,0.86669606,0.8998036,-2.248286,-0.03310752,-1.1406968
98,2.134761,0.47654623,0.78191406,-1.6582148,-0.30536783,-0.9817913
99,5.743641,1.5306906,1.238543,-4.21295,0.29214752,-1.9604014
100,1.1974151,0.97218925,0.8196538,-0.22522587,0.15253544,-0.036345184
101,4.7167344,1.3659334,0.47761458,-3.350801,0.88831884,-1.231241
102,2.0698009,1.8093245,1.799651,-0.26047635,0.009673476,-0.1254015
103,2.7271044,1.5258701,1.2830287,-1.2012343,0.24284136,-0.47919655
104,4.4999857,0.9602546,0.6059369,-3.539731,0.35431772,-1.5927067
105,4.1837864,1.8097707,0.7678532,-2.3740158,1.0419176,-0.6660491
106,2.6704433,1.323343,0.94034386,-1.3471003,0.38299918,-0.48205054
107,6.2363424,2.4838603,1.0000329,-3.7524822,1.4838274,-1.1343274
108,8.429913,2.930835,1.296421,-5.499078,1.634414,-1.9323318
109,1.9576019,1.100705,0.9096785,-0.8568969,0.19102651,-0.3329352
110,4.115144,2.0655975,1.5465225,-2.0495462,0.51907504,-0.76523566
111,5.272063,0.8978785,0.74225384,-4.374184,0.15562469,-2.1092796
112,3.3565564,0.6245865,0.7543674,-2.7319698,-0.12978089,-1.4308753
113,0.8612962,0.7214732,1.0585209,-0.13982296,-0.3370477,-0.23843533
114,3.0176365,1.8810126,1.4208766,-1.136624,0.46013594,-0.33824408
115,3.0683837,1.5485504,0.98751026,-1.5198333,0.5610401,-0.47939658
116,4.8027463,1.9406928,1.0895023,-2.8620534,0.85119045,-1.0054315
117,3.506089,2.8312247,1.7144827,-0.6748643,1.116742,0.22093892
118,5.4445086,1.6594368,1.06777,-3.7850718,0.5916668,-1.5967025
119,4.1228404,0.9432409,0.71442026,-3.1795995,0.22882062,-1.4753895
120,1.2111017,1.6354667,1.267926,0.42436504,0.36754072,0.39595282
121,5.6806045,1.2039013,0.77869356,-4.476703,0.42520773,-2.0257478
122,4.0306363,2.7869089,1.7926058,-1.2437274,0.9943031,-0.12471223
123,2.2665966,0.9099566,1.173386,-1.35664,-0.2634294,-0.81003463
124,1.0336295,1.24446,1.2276326,0.21083045,0.016827345,0.1138289
125,4.641395,1.7559365,1.0026783,-2.8854585,0.7532582,-1.0661002
126,2.0171075,0.85267866,0.7860996,-1.1644288,0.066579044,-0.5489249
127,8.469207,3.453486,1.4702326,-5.015721,1.9832534,-1.5162339
