filter_idx,CTCF,B2CTCF,B2noCTCF,B2CTCF_vs_CTCF,B2CTCF_vs_B2no
0,2.518753,1.7752858,1.6261702,-0.7434672,0.14911568
1,1.6756296,1.7253058,1.7675364,0.04967618,-0.042230606
2,1.5568064,1.6025347,1.5754337,0.045728207,0.02710092
3,4.2297378,1.8419218,0.7763611,-2.387816,1.0655607
4,2.8403165,2.0045202,1.1372893,-0.83579636,0.8672309
5,1.2874981,1.0838306,1.0246559,-0.20366752,0.059174657
6,2.3305476,1.4242285,1.3635292,-0.906319,0.060699344
7,3.0308058,1.0164123,0.8130522,-2.0143936,0.20336008
8,2.18442,1.490761,0.83525455,-0.69365907,0.6555065
9,1.7093661,0.8613071,0.3821686,-0.848059,0.4791385
10,3.0160434,2.1528983,1.4137715,-0.8631451,0.7391268
11,1.6325437,1.9804448,1.7282735,0.3479011,0.25217128
12,0.9945529,0.115849495,-0.16232918,-0.8787034,0.2781787
13,1.884446,1.1367807,0.98200065,-0.7476653,0.15478009
14,2.5926747,1.6748512,0.89868796,-0.91782355,0.7761632
15,2.02999,2.0468569,2.0633025,0.016866922,-0.016445637
16,1.9964559,1.8098859,1.6679741,-0.18657005,0.14191175
17,2.2618012,1.2498747,0.6917647,-1.0119265,0.55811
18,1.579523,1.9215909,1.7712913,0.34206796,0.15029967
19,1.4636596,1.5136259,1.5562835,0.049966216,-0.042657614
20,2.4675882,1.8180965,1.6125249,-0.64949167,0.20557165
21,2.7792323,0.33179674,-0.14113812,-2.4474356,0.47293484
22,3.1106994,2.8611526,2.1130621,-0.24954677,0.7480905
23,2.0514355,1.2556719,0.9707131,-0.7957636,0.28495878
24,3.536822,1.7723967,0.9909612,-1.7644254,0.7814355
25,1.5705075,1.9364262,1.792384,0.36591864,0.14404213
26,1.6585295,1.7655343,1.8828038,0.10700476,-0.117269516
27,2.0265837,1.7265927,1.3025298,-0.299991,0.42406285
28,2.95776,1.4418305,0.6567867,-1.5159296,0.78504384
29,2.775322,1.7058281,1.3258237,-1.0694939,0.3800044
30,3.887375,1.8775028,1.1273283,-2.0098724,0.7501745
31,3.148317,0.3397608,-0.45790958,-2.8085563,0.79767036
32,1.8886871,2.1450827,2.0247483,0.25639558,0.12033439
33,2.2814398,1.3168478,1.2312255,-0.964592,0.08562231
34,2.075274,2.568214,1.9870603,0.49293995,0.58115363
35,1.732149,2.1971676,2.1089056,0.46501863,0.08826208
36,1.8365271,1.8020837,1.8835508,-0.03444338,-0.08146703
37,1.9993907,1.1354326,0.8359875,-0.8639581,0.2994451
38,2.7421818,1.547743,1.2976726,-1.1944388,0.25007033
39,1.7912198,2.940692,2.228149,1.1494721,0.712543
40,2.0454948,2.0780642,2.0828726,0.03256941,-0.004808426
41,1.6901153,2.6625214,2.2678387,0.972406,0.39468265
42,4.251333,1.122194,-0.30419514,-3.1291392,1.4263892
43,2.106894,1.0150608,0.851218,-1.0918332,0.1638428
44,1.8471898,2.1256125,1.9654567,0.2784227,0.16015577
45,2.265224,4.423692,3.297923,2.1584682,1.1257691
46,1.591221,1.446082,1.4238673,-0.14513898,0.022214651
47,1.3942904,2.244593,1.7781773,0.85030246,0.46641564
48,2.3806093,1.5229188,1.5928841,-0.85769045,-0.06996524
49,2.5045247,0.91008705,0.5804787,-1.5944376,0.32960832
50,1.5853117,1.6085389,1.5394243,0.023227215,0.069114566
51,1.4072005,1.493222,1.5273256,0.08602154,-0.034103632
52,2.7773118,1.5281191,0.9122758,-1.2491927,0.6158433
53,2.569905,1.5997043,1.2913612,-0.9702008,0.30834305
54,1.76238,1.3276886,1.0877668,-0.43469143,0.23992181
55,2.2422845,1.9291905,1.6266108,-0.31309402,0.30257976
56,1.7933102,1.6488229,1.5527663,-0.14448726,0.09605658
57,2.6951327,1.9291453,1.4083507,-0.7659874,0.52079463
58,1.8081781,1.4678267,1.3821857,-0.34035134,0.08564103
59,3.3433104,2.4988296,1.9930861,-0.84448075,0.5057435
60,2.1857169,1.2250212,1.0488979,-0.9606956,0.17612338
61,1.5517049,1.5229197,1.562409,-0.028785229,-0.03948939
62,3.587468,0.6431463,-0.25403127,-2.9443216,0.8971776
63,1.8568305,1.4838846,1.5579058,-0.3729459,-0.07402122
64,3.1291497,1.9393328,1.5773002,-1.1898168,0.36203265
65,1.8152255,2.5525687,2.0069413,0.7373432,0.54562736
66,1.5525161,0.9640625,1.0042278,-0.5884536,-0.040165246
67,3.30614,1.838798,1.3232802,-1.4673419,0.51551783
68,1.6113819,1.7737943,1.6719817,0.1624124,0.1018126
69,3.332529,1.4863029,1.3531387,-1.8462262,0.13316417
70,1.8655595,1.6054835,1.7756368,-0.26007593,-0.17015326
71,2.2378771,1.7095599,1.3087237,-0.5283172,0.40083623
72,2.084453,1.5287735,1.3310685,-0.55567956,0.19770503
73,1.7419684,1.1879122,0.8672694,-0.55405617,0.32064283
74,1.9160559,1.534326,1.5025673,-0.38172996,0.031758666
75,3.0869324,1.5102789,1.5792432,-1.5766535,-0.06896424
76,1.864806,1.2716904,1.1382664,-0.5931157,0.13342392
77,1.5418035,1.5594747,1.6020833,0.017671227,-0.04260862
78,3.282768,2.035966,1.1061954,-1.2468021,0.92977047
79,1.7949604,1.7045587,1.8078367,-0.09040165,-0.10327792
80,3.373032,1.244442,0.7061064,-2.12859,0.53833556
