filter,B2CTCF_mean,B2CTCF_std,before_mean,before_std,after_mean,after_std,delta_optimization
9,1.902817,0.84469354,3.9032571,1.5422634,9.555419,1.9646679,5.6521616
13,2.993023,1.0375968,12.95221,2.0654778,13.870506,2.9368165,0.91829586
15,3.293619,1.7891048,14.855078,5.133371,13.833163,4.5723405,-1.0219145
22,2.640063,1.448329,2.7630596,0.5596432,2.3433843,1.0346276,-0.41967535
27,2.267828,0.9122051,2.8476408,0.6576542,5.34908,1.4463303,2.5014393
34,1.8664467,1.0667565,3.2584794,1.069229,2.6489882,1.155797,-0.6094911
44,1.3229223,1.013025,2.2843666,0.880539,2.1094594,0.89701265,-0.17490721
51,3.3271496,1.745313,13.58497,7.9491024,12.792789,5.1199794,-0.792181
56,2.9971023,1.7475829,10.293827,3.2103453,17.757944,4.7367535,7.464117
68,3.2764518,1.1790204,6.423151,1.9448792,14.130893,3.69757,7.7077417
72,1.9999566,1.3269572,2.5849662,0.8334196,1.7304575,0.92467,-0.85450864
81,2.0520012,0.48350635,2.03633,0.4609493,4.8324614,0.9866295,2.7961314
87,3.463076,1.8594322,23.486357,9.114997,21.79208,7.4634743,-1.6942768
90,2.8035946,1.9589539,21.478682,15.328297,21.355785,10.468091,-0.122896194
108,2.9308355,1.5062804,17.649195,4.6825557,15.562685,4.2751064,-2.0865097
117,2.8312235,0.9624826,6.7991843,3.2115097,12.53803,4.6747036,5.7388453
120,1.635467,0.62039375,2.14511,0.69824404,4.047097,1.5421977,1.9019873
127,3.453486,2.7150724,21.660978,13.261185,22.085272,8.400137,0.42429352
