filter_idx	mean	median	std	max	pct_active
125	2.1087415	2.1388023	0.6237093	3.7461858	100.0
122	1.9979453	1.9548371	0.46769235	2.899082	100.0
89	1.9711148	2.1086428	0.4456751	3.0275729	100.0
21	1.950541	1.864855	0.56424284	3.061872	100.0
116	1.9432231	2.0349958	0.3661931	2.9442897	100.0
64	1.9364136	1.9563926	0.3334352	2.6461704	100.0
94	1.9105607	1.9847391	0.18726403	2.6172402	100.0
62	1.890996	1.7826725	0.5451738	3.0613697	100.0
123	1.8569359	1.8421128	0.3391096	2.8058815	100.0
59	1.8135179	1.7326311	0.44491452	3.0191824	100.0
118	1.8110366	1.7616863	0.39066073	3.5401342	100.0
36	1.8101995	1.7425541	0.37377983	2.5199862	100.0
41	1.7729146	1.8171362	0.21079583	2.393918	100.0
27	1.7656567	1.8389679	0.5076609	3.2629027	100.0
105	1.7495006	1.7921051	0.19362055	2.5166204	100.0
99	1.7371548	1.7194909	0.26497987	2.2905436	100.0
42	1.7349339	1.6797243	0.34234852	2.9335985	100.0
54	1.7284819	1.7979512	0.24134819	2.3425546	100.0
37	1.722828	1.744388	0.2778269	2.7939045	100.0
47	1.7198877	1.81971	0.40710533	2.8027942	100.0
104	1.7195766	1.6618958	0.31776455	2.778615	100.0
113	1.7167587	1.7793481	0.27567673	2.6267703	100.0
98	1.7083985	1.7084756	0.47090295	3.1827228	100.0
12	1.6979711	1.7120419	0.29696423	2.7256455	100.0
2	1.6979123	1.6272482	0.23410313	2.71942	100.0
17	1.6933992	1.6980579	0.32544592	2.462906	100.0
96	1.6744657	1.8636292	0.38517112	2.8387074	100.0
7	1.6732553	1.6080778	0.45516998	3.027071	100.0
32	1.6517336	1.6677098	0.2658879	2.3499832	100.0
19	1.6515431	1.6511382	0.39651737	2.5941064	100.0
121	1.6399547	1.6285015	0.28352156	2.7224412	100.0
45	1.6366054	1.586389	0.27111998	2.213038	100.0
56	1.6288595	1.6501567	0.21778278	2.1988018	100.0
90	1.6265215	1.5421219	0.42662647	3.0390244	100.0
67	1.62011	1.6363282	0.24192877	3.0849462	100.0
22	1.6178637	1.5841504	0.28646564	2.9409153	100.0
31	1.6133183	1.63089	0.28716636	2.7168474	100.0
92	1.6116581	1.6975094	0.4513568	2.7786732	100.0
25	1.6005405	1.6006209	0.22845276	2.346117	100.0
70	1.5985445	1.6143746	0.2370681	2.15113	100.0
117	1.5930293	1.5920177	0.4323839	2.7994637	100.0
114	1.5821282	1.5687271	0.37249982	2.4798863	100.0
69	1.5809836	1.5677706	0.34696528	2.5880158	100.0
49	1.5741748	1.5852035	0.21714707	2.6354456	100.0
93	1.5737642	1.492506	0.32655433	2.6137202	100.0
33	1.5700766	1.5261554	0.16388871	2.3188548	100.0
74	1.5690314	1.5691898	0.30027658	2.5610104	100.0
14	1.5585423	1.3963535	0.4469587	2.532611	100.0
61	1.55585	1.5077193	0.2532025	2.746866	100.0
44	1.5507201	1.593924	0.2729977	2.5549896	100.0
