rmsk_index	bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
759448	1158	776	177	62	72	chr11	75225206	75225217	-46857326	+	B2_Mm2	SINE	B2	184	194	-1	6
2729638	657	1481	68	21	0	chr3	9539664	9539855	-150499825	+	B2_Mm2	SINE	B2	1	195	0	2
3252120	1593	1007	127	32	32	chr4	132232835	132233022	-24275094	+	B2_Mm2	SINE	B2	3	189	-6	2
3599066	1685	1164	86	92	0	chr5	144269099	144269273	-7565411	-	B2_Mm2	SINE	B2	-4	191	2	3
2069231	1227	1028	110	53	121	chr17	84201822	84201986	-10785285	-	B2_Mm2	SINE	B2	-2	193	43	1
3228992	1526	1109	80	106	28	chr4	123437231	123437263	-33070853	-	B2_Mm2	SINE	B2	-2	193	160	2
3870157	1613	762	103	0	0	chr6	134872054	134872161	-14864385	+	B2_Mm2	SINE	B2	1	107	-88	3
746732	1116	953	128	76	27	chr11	69645151	69645334	-52437209	-	B2_Mm2	SINE	B2	-1	194	2	6
240626	1587	1031	117	0	0	chr1	131364859	131365004	-64106967	+	B2_Mm2	SINE	B2	2	146	-49	2
1455931	1175	339	215	12	60	chr14	77392592	77392676	-47509568	+	B2_Mm2	SINE	B2	1	80	-115	1
4056577	1211	371	183	28	0	chr7	82120858	82120917	-63320542	+	B2_Mm2	SINE	B2	80	140	-55	3
5134509	1226	677	207	164	6	chrY	84034146	84034311	-7710387	-	B2_Mm2	SINE	B2	-4	191	1	4
1170401	905	1284	83	33	11	chr13	42013620	42013802	-78407837	+	B2_Mm2	SINE	B2	2	187	-8	1
5067028	928	505	178	268	0	chrY	45042985	45043121	-46701577	-	B2_Mm2	SINE	B2	-37	179	1	4
969846	1003	585	53	0	0	chr12	54815563	54815639	-65313383	+	B2_Mm2	SINE	B2	1	76	-119	8
563338	1391	1036	123	29	6	chr10	105725830	105725853	-24969140	-	B2_Mm2	SINE	B2	-19	176	155	4
1310758	1477	328	214	0	28	chr13	116980734	116980806	-3440833	-	B2_Mm2	SINE	B2	-125	70	1	1
4938546	1686	420	239	101	116	chrX	144412833	144412862	-26618437	+	B2_Mm2	SINE	B2	164	187	-8	4
3595309	1676	1320	75	15	46	chr5	143041501	143041698	-8792986	+	B2_Mm2	SINE	B2	1	191	-4	3
1413723	1018	1002	96	151	0	chr14	56776048	56776214	-68126030	+	B2_Mm2	SINE	B2	1	191	-4	1
4637484	1406	1326	68	57	0	chr9	107622720	107622897	-16972213	-	B2_Mm2	SINE	B2	-8	187	1	4
3261518	1615	712	206	51	61	chr4	135069274	135069470	-21438646	+	B2_Mm2	SINE	B2	1	194	-1	2
2437029	858	1196	97	47	31	chr2	35893127	35893318	-146219906	-	B2_Mm2	SINE	B2	-1	194	1	2
1370596	839	459	211	118	67	chr14	33417588	33417610	-91484634	-	B2_Mm2	SINE	B2	-8	187	164	1
1450353	1154	1294	110	22	0	chr14	74674239	74674421	-50227823	-	B2_Mm2	SINE	B2	-7	188	3	1
1394931	948	560	68	0	0	chr14	47629109	47629183	-77273061	-	B2_Mm2	SINE	B2	-119	76	3	1
2678937	1828	1466	83	0	5	chr2	163050053	163050247	-19062977	+	B2_Mm2	SINE	B2	1	193	-2	2
4804729	1148	994	91	182	0	chrX	73806491	73806645	-97224654	+	B2_Mm2	SINE	B2	5	186	-9	4
4732466	848	676	158	173	46	chrX	34506496	34506669	-136524630	+	B2_Mm2	SINE	B2	1	195	0	4
3992111	943	1339	68	16	38	chr7	47021800	47021984	-98419475	-	B2_Mm2	SINE	B2	-15	180	1	3
3674473	848	1322	97	16	0	chr6	34477237	34477422	-115259124	-	B2_Mm2	SINE	B2	-6	189	2	3
1540144	609	213	212	119	126	chr15	3235697	3235732	-100807953	+	B2_Mm2	SINE	B2	133	195	0	1
1447243	1142	289	84	371	30	chr14	73069207	73069304	-51832940	+	B2_Mm2	SINE	B2	52	181	-14	1
2884819	1313	1347	109	5	49	chr3	95475242	95475445	-64564235	+	B2_Mm2	SINE	B2	2	195	0	2
