chrom	fold	centered_start	centered_end	n_insertions	URQ_orig	URQ_sine	URQ_diff	insertion_sites
chr1	0	37799936	39110656	1	-0.11937238276004791	-0.11939126998186111	-1.8887221813201904e-05	[656389]
chr1	0	37799936	39110656	2	-0.11937238276004791	-0.1178877130150795	0.0014846697449684143	[655709, 656581]
chr1	0	37799936	39110656	3	-0.11937238276004791	-0.06866239011287689	0.05070999264717102	[656135, 656625, 656976]
chr11	0	65677312	66988032	1	-0.3102453052997589	-0.009593585506081581	0.30065171979367733	[656704]
chr11	0	65677312	66988032	2	-0.3102453052997589	-0.23172125220298767	0.07852405309677124	[656085, 656751]
chr11	0	65677312	66988032	3	-0.3102453052997589	-0.015832917764782906	0.294412387534976	[656105, 656667, 657111]
chr3	0	38524928	39835648	1	-0.4065246880054474	-0.40543949604034424	0.0010851919651031494	[656705]
chr3	0	38524928	39835648	2	-0.4065246880054474	-0.3225746154785156	0.08395007252693176	[655541, 656726]
chr3	0	38524928	39835648	3	-0.4065246880054474	-0.30641406774520874	0.10011062026023865	[655745, 656087, 657018]
chr3	0	53286912	54597632	1	-0.2691168785095215	-0.2674279808998108	0.0016888976097106934	[655745]
chr3	0	53286912	54597632	2	-0.2691168785095215	-0.26465222239494324	0.004464656114578247	[656661, 657040]
chr3	0	53286912	54597632	3	-0.2691168785095215	-0.26156723499298096	0.007549643516540527	[655711, 656067, 657016]
chr3	0	119885824	121196544	1	-0.38486841320991516	-0.3835739493370056	0.001294463872909546	[656640]
chr3	0	119885824	121196544	2	-0.38486841320991516	-0.38798585534095764	-0.0031174421310424805	[656601, 657110]
chr3	0	119885824	121196544	3	-0.38486841320991516	-0.22179605066776276	0.1630723625421524	[655498, 655875, 656109]
chr3	0	101859328	103170048	1	-0.17804928123950958	-0.16354604065418243	0.014503240585327148	[657057]
chr3	0	101859328	103170048	2	-0.17804928123950958	-0.11405172944068909	0.0639975517988205	[656738, 656972]
chr3	0	101859328	103170048	3	-0.17804928123950958	0.026165317744016647	0.20421459898352623	[655962, 656694, 656959]
chr3	0	99010560	100321280	1	-0.18092329800128937	-0.17956134676933289	0.001361951231956482	[657165]
chr3	0	99010560	100321280	2	-0.18092329800128937	-0.08773848414421082	0.09318481385707855	[655829, 657043]
chr3	0	99010560	100321280	3	-0.18092329800128937	-0.16915644705295563	0.01176685094833374	[655504, 656048, 657076]
chr3	0	80795648	82106368	1	-0.22548414766788483	-0.22341176867485046	0.002072378993034363	[656643]
chr3	0	80795648	82106368	2	-0.22548414766788483	-0.23024201393127441	-0.004757866263389587	[655439, 656971]
chr3	0	80795648	82106368	3	-0.22548414766788483	-0.22352604568004608	0.001958101987838745	[655731, 656748, 656961]
chr3	0	127893504	129204224	1	-0.30829545855522156	-0.3061530292034149	0.0021424293518066406	[657145]
chr3	0	127893504	129204224	2	-0.30829545855522156	-0.30339258909225464	0.004902869462966919	[656232, 657121]
chr3	0	127893504	129204224	3	-0.30829545855522156	-0.08656205236911774	0.22173340618610382	[655503, 656043, 656625]
chr3	0	146692096	148002816	1	-0.23733940720558167	-0.23621802031993866	0.0011213868856430054	[656297]
chr3	0	146692096	148002816	2	-0.23733940720558167	-0.18864329159259796	0.048696115612983704	[656425, 656682]
chr3	0	146692096	148002816	3	-0.23733940720558167	-0.24226681888103485	-0.004927411675453186	[655472, 656159, 656885]
chr3	0	40724480	42035200	1	-0.12331564724445343	-0.12250842154026031	0.0008072257041931152	[655361]
chr3	0	40724480	42035200	2	-0.12331564724445343	-0.10497967153787613	0.0183359757065773	[655388, 657109]
chr3	0	40724480	42035200	3	-0.12331564724445343	-0.11152850836515427	0.011787138879299164	[655551, 655846, 656329]
chr3	0	136558592	137869312	1	-0.332097589969635	-0.33687734603881836	-0.00477975606918335	[656509]
chr3	0	136558592	137869312	2	-0.332097589969635	-0.3406674563884735	-0.008569866418838501	[656333, 656974]
chr3	0	136558592	137869312	3	-0.332097589969635	-0.3352092206478119	-0.00311163067817688	[655382, 656586, 657102]
chr3	0	152809472	154120192	1	-0.30368879437446594	-0.2990542948246002	0.004634499549865723	[656973]
chr3	0	152809472	154120192	2	-0.30368879437446594	-0.29036805033683777	0.013320744037628174	[656804, 657081]
chr3	0	152809472	154120192	3	-0.30368879437446594	-0.16605216264724731	0.13763663172721863	[655464, 656567, 656979]
chr3	0	135677952	136988672	1	-0.3615756630897522	-0.35096612572669983	0.010609537363052368	[657026]
chr3	0	135677952	136988672	2	-0.3615756630897522	-0.3610115945339203	0.0005640685558319092	[656111, 656406]
chr3	0	135677952	136988672	3	-0.3615756630897522	-0.3520483672618866	0.0095272958278656	[655397, 655675, 655924]
chr3	0	134367232	135677952	1	-0.4721014201641083	-0.4704015254974365	0.001699894666671753	[655414]
chr3	0	134367232	135677952	2	-0.4721014201641083	-0.34834250807762146	0.12375891208648682	[655611, 657173]
chr3	0	134367232	135677952	3	-0.4721014201641083	-0.43554162979125977	0.03655979037284851	[655778, 656292, 656937]
chr3	0	128325632	129636352	1	-0.4193699061870575	-0.41960570216178894	-0.0002357959747314453	[656597]
chr3	0	128325632	129636352	2	-0.4193699061870575	-0.41831594705581665	0.0010539591312408447	[655450, 656327]
chr3	0	128325632	129636352	3	-0.4193699061870575	-0.37299078702926636	0.04637911915779114	[656162, 656773, 657083]
chr3	0	51949568	53260288	1	-0.1681535840034485	-0.16844375431537628	-0.0002901703119277954	[656867]
chr3	0	51949568	53260288	2	-0.1681535840034485	-0.13467341661453247	0.033480167388916016	[655998, 656939]
chr3	0	51949568	53260288	3	-0.1681535840034485	-0.08195817470550537	0.08619540929794312	[655583, 656018, 656574]
chr4	0	127655936	128966656	1	-0.2788602411746979	-0.27244967222213745	0.006410568952560425	[656536]
chr4	0	127655936	128966656	2	-0.2788602411746979	-0.2791935205459595	-0.0003332793712615967	[655442, 655989]
chr4	0	127655936	128966656	3	-0.2788602411746979	-0.09651536494493484	0.18234487622976303	[656000, 656281, 656987]
chr4	0	103120896	104431616	1	-0.2810407280921936	-0.2568936049938202	0.024147123098373413	[656926]
chr4	0	103120896	104431616	2	-0.2810407280921936	-0.28295889496803284	-0.0019181668758392334	[656325, 657106]
chr4	0	103120896	104431616	3	-0.2810407280921936	-0.2735217809677124	0.007518947124481201	[656001, 656359, 657091]
chr4	0	109963264	111273984	1	-0.3651997148990631	-0.36144450306892395	0.00375521183013916	[656367]
chr4	0	109963264	111273984	2	-0.3651997148990631	-0.36025571823120117	0.0049439966678619385	[655588, 656935]
chr4	0	109963264	111273984	3	-0.3651997148990631	-0.35854271054267883	0.006657004356384277	[655493, 656036, 656790]
chr4	0	104028160	105338880	1	-0.22920340299606323	-0.22823597490787506	0.0009674280881881714	[656816]
chr4	0	104028160	105338880	2	-0.22920340299606323	-0.22938314080238342	-0.00017973780632019043	[656148, 656821]
chr4	0	104028160	105338880	3	-0.22920340299606323	-0.23111960291862488	-0.0019161999225616455	[655924, 656340, 657023]
chr4	0	95033344	96344064	1	-0.376544326543808	-0.3736276924610138	0.0029166340827941895	[656367]
chr4	0	95033344	96344064	2	-0.376544326543808	-0.38109853863716125	-0.0045542120933532715	[655670, 657125]
chr4	0	95033344	96344064	3	-0.376544326543808	-0.3707931935787201	0.005751132965087891	[655413, 655649, 656904]
chr4	0	152287232	153597952	1	-0.06390862911939621	-0.06352107226848602	0.00038755685091018677	[657192]
chr4	0	152287232	153597952	2	-0.06390862911939621	0.051390718668699265	0.11529934778809547	[655814, 656919]
chr4	0	152287232	153597952	3	-0.06390862911939621	-0.022817762568593025	0.041090866550803185	[655724, 655976, 656954]
chr5	0	97062912	98373632	1	-0.40315765142440796	-0.40489280223846436	-0.0017351508140563965	[656647]
chr5	0	97062912	98373632	2	-0.40315765142440796	-0.41681376099586487	-0.01365610957145691	[655609, 656685]
chr5	0	97062912	98373632	3	-0.40315765142440796	-0.4000093638896942	0.003148287534713745	[655744, 656511, 657065]
chr5	0	95946752	97257472	1	-0.2138514369726181	-0.19491513073444366	0.01893630623817444	[656801]
chr5	0	95946752	97257472	2	-0.2138514369726181	-0.20804375410079956	0.0058076828718185425	[655571, 655958]
chr5	0	95946752	97257472	3	-0.2138514369726181	-0.15428362786769867	0.059567809104919434	[656183, 656449, 656980]
chr5	0	85061632	86372352	1	-0.2192050963640213	-0.22117909789085388	-0.0019740015268325806	[655716]
chr5	0	85061632	86372352	2	-0.2192050963640213	-0.22094525396823883	-0.0017401576042175293	[656006, 656291]
chr5	0	85061632	86372352	3	-0.2192050963640213	-0.2209339439868927	-0.001728847622871399	[655430, 655833, 656829]
chr5	0	48887808	50198528	1	-0.23262937366962433	-0.2338748425245285	-0.0012454688549041748	[655568]
chr5	0	48887808	50198528	2	-0.23262937366962433	-0.2348593771457672	-0.0022300034761428833	[655469, 656232]
chr5	0	48887808	50198528	3	-0.23262937366962433	-0.23314623534679413	-0.0005168616771697998	[655922, 656142, 656608]
chr5	0	91060224	92370944	1	-0.24950025975704193	-0.2469204217195511	0.0025798380374908447	[655535]
chr5	0	91060224	92370944	2	-0.24950025975704193	-0.21943902969360352	0.030061230063438416	[655905, 656450]
chr5	0	91060224	92370944	3	-0.24950025975704193	-0.24753500521183014	0.001965254545211792	[656085, 656300, 656959]
chr5	0	97955840	99266560	1	-0.18621060252189636	-0.1849222630262375	0.0012883394956588745	[656934]
chr5	0	97955840	99266560	2	-0.18621060252189636	-0.12107542902231216	0.0651351734995842	[655847, 656707]
chr5	0	97955840	99266560	3	-0.18621060252189636	-0.18221284449100494	0.0039977580308914185	[655728, 656319, 657102]
chr5	0	96688128	97998848	1	-0.20030322670936584	-0.19964225590229034	0.0006609708070755005	[656853]
chr5	0	96688128	97998848	2	-0.20030322670936584	-0.1941356211900711	0.006167605519294739	[655806, 656555]
chr5	0	96688128	97998848	3	-0.20030322670936584	-0.06810356676578522	0.13219965994358063	[655409, 656231, 657065]
chr5	0	36800512	38111232	1	-0.32582786679267883	-0.26689085364341736	0.058937013149261475	[657162]
chr5	0	36800512	38111232	2	-0.32582786679267883	-0.32666173577308655	-0.0008338689804077148	[656268, 656933]
chr5	0	36800512	38111232	3	-0.32582786679267883	-0.32539620995521545	0.0004316568374633789	[655848, 656331, 656645]
chr5	0	51138560	52449280	1	-0.31609198451042175	-0.27472400665283203	0.04136797785758972	[656437]
chr5	0	51138560	52449280	2	-0.31609198451042175	-0.3137598931789398	0.0023320913314819336	[655644, 656690]
chr5	0	51138560	52449280	3	-0.31609198451042175	-0.07942328602075577	0.23666869848966599	[656032, 656232, 656998]
chr5	0	62668800	63979520	1	-0.20322579145431519	-0.20207113027572632	0.0011546611785888672	[656657]
chr5	0	62668800	63979520	2	-0.20322579145431519	-0.19929498434066772	0.003930807113647461	[655910, 657155]
chr5	0	62668800	63979520	3	-0.20322579145431519	-0.07148496806621552	0.13174082338809967	[655477, 655709, 656995]
chr5	0	44417024	45727744	1	-0.20880356431007385	-0.20810607075691223	0.0006974935531616211	[656936]
chr5	0	44417024	45727744	2	-0.20880356431007385	-0.08038277924060822	0.12842078506946564	[655397, 656368]
chr5	0	44417024	45727744	3	-0.20880356431007385	-0.15098102390766144	0.057822540402412415	[655565, 656323, 656850]
chr5	0	98772992	100083712	1	0.022828398272395134	0.018945859745144844	-0.00388253852725029	[655541]
chr5	0	98772992	100083712	2	0.022828398272395134	0.020733915269374847	-0.0020944830030202866	[655709, 655942]
chr5	0	98772992	100083712	3	0.022828398272395134	0.031227516010403633	0.0083991177380085	[655927, 656566, 657071]
chr6	0	61061120	62371840	1	-0.2033815085887909	-0.20968355238437653	-0.006302043795585632	[655593]
chr6	0	61061120	62371840	2	-0.2033815085887909	-0.2045167088508606	-0.0011352002620697021	[655769, 655979]
chr6	0	61061120	62371840	3	-0.2033815085887909	-0.2080087661743164	-0.004627257585525513	[655581, 656095, 657115]
chrX	0	46925824	48236544	1	-0.31447556614875793	-0.31542879343032837	-0.0009532272815704346	[655693]
chrX	0	46925824	48236544	2	-0.31447556614875793	-0.31553930044174194	-0.0010637342929840088	[656212, 657114]
chrX	0	46925824	48236544	3	-0.31447556614875793	-0.310758501291275	0.00371706485748291	[656109, 656564, 656961]
chrX	0	48441344	49752064	1	-0.11847100406885147	-0.11746278405189514	0.0010082200169563293	[656137]
chrX	0	48441344	49752064	2	-0.11847100406885147	0.06248095631599426	0.18095196038484573	[656352, 656616]
chrX	0	48441344	49752064	3	-0.11847100406885147	0.06233719363808632	0.1808081977069378	[655362, 656322, 656665]
